,Unnamed: 0,school,team,city,state_province,primary_conference,ncaa,team_page,svg_url
850,850,Maine Maritime Academy,Mariners,Castine,ME,North Atlantic Conference,3,,
851,851,University of Maine at Presque Isle,Owls,Presque Isle,ME,North Atlantic Conference,3,,
852,852,Manchester University,Spartans,North Manchester,IN,Heartland Collegiate Athletic Conference,3,/wiki/USC_Upstate_Spartans,https://upload.wikimedia.org/wikipedia/commons/8/8e/USC_Upstate_Spartans_logo.svg
853,853,Manhattanville College,Valiants,Purchase,NY,Skyline Conference,3,,
854,854,Maranatha Baptist University,Sabercats,Watertown,WI,Independent,3,,
855,855,Marian University,Sabres,Fond du Lac,WI,Northern Athletics Collegiate Conference,3,,
856,856,Marietta College,Pioneers,Marietta,OH,Ohio Athletic Conference,3,/wiki/Denver_Pioneers,https://upload.wikimedia.org/wikipedia/commons/6/69/Denver_Pioneers_logo.svg
857,857,Martin Luther College,Knights,New Ulm,MN,Upper Midwest Athletic Conference,3,/wiki/UCF_Knights,https://upload.wikimedia.org/wikipedia/commons/f/fd/UCF_Knights_logo.svg
858,858,Mary Baldwin University,Fighting Squirrels,Staunton,VA,USA South Athletic Conference,3,,
859,859,University of Mary Hardin–Baylor,Crusaders,Belton,TX,American Southwest Conference,3,/wiki/Holy_Cross_Crusaders,https://upload.wikimedia.org/wikipedia/commons/f/f5/Holy_Cross_Crusaders_logo.svg
860,860,University of Mary Washington,Eagles,Fredericksburg,VA,Coast to Coast Athletic Conference,3,,
861,861,Marymount University,Saints,Arlington,VA,Atlantic East Conference,3,/wiki/Siena_Saints,https://upload.wikimedia.org/wikipedia/en/7/78/Siena_Saints_logo.svg
862,862,Maryville College,Scots,Maryville,TN,USA South Athletic Conference(Collegiate Conference of the South in 2022),3,,
863,863,Marywood University,Pacers,Scranton,PA,Atlantic East Conference,3,,
864,864,University of Massachusetts Boston,Beacons,Boston,MA,Little East Conference,3,/wiki/Valparaiso_Beacons,https://upload.wikimedia.org/wikipedia/en/e/eb/Valparaiso_Beacons.jpg
865,865,Massachusetts College of Liberal Arts,Trailblazers,North Adams,MA,Massachusetts State Collegiate Athletic Conference,3,,
866,866,University of Massachusetts Dartmouth,Corsairs,Dartmouth,MA,Little East Conference,3,,
867,867,Massachusetts Institute of Technology (MIT)[A 12],Engineers,Cambridge,MA,New England Women's and Men's Athletic Conference,3,,
868,868,Massachusetts Maritime Academy,Buccaneers,Buzzards Bay,MA,Massachusetts State Collegiate Athletic Conference,3,/wiki/East_Tennessee_State_Buccaneers,https://upload.wikimedia.org/wikipedia/commons/a/ab/East_Tennessee_State_Buccaneers_logo.svg
869,869,McDaniel College,Green Terror,Westminster,MD,Centennial Conference,3,,
870,870,McMurry University,War Hawks,Abilene,TX,American Southwest Conference,3,,
871,871,Medaille College,Mavericks,Buffalo,NY,Allegheny Mountain Collegiate Conference(Empire 8 in 2022),3,/wiki/Omaha_Mavericks,https://upload.wikimedia.org/wikipedia/commons/7/73/Omaha_Mavericks_logo.svg
872,872,Medgar Evers College,Cougars,Brooklyn,NY,City University of New York Athletic Conference,3,/wiki/Washington_State_Cougars,https://upload.wikimedia.org/wikipedia/en/0/07/Washington_State_Cougars_logo.svg
873,873,Meredith College,Angels,Raleigh,NC,USA South Athletic Conference,3,,
874,874,Messiah University,Falcons,Grantham,PA,MAC Commonwealth,3,/wiki/Air_Force_Falcons,https://upload.wikimedia.org/wikipedia/commons/d/dc/Air_Force_Falcons_logo.svg
875,875,Methodist University,Monarchs,Fayetteville,NC,USA South Athletic Conference,3,/wiki/Old_Dominion_Monarchs_and_Lady_Monarchs,https://upload.wikimedia.org/wikipedia/en/b/b4/Old_Dominion_Athletics_logo.svg
876,876,Middlebury College,Panthers,Middlebury,VT,New England Small College Athletic Conference,3,/wiki/Milwaukee_Panthers,https://upload.wikimedia.org/wikipedia/commons/3/36/Milwaukee_Panthers_letter_logo.svg
877,877,Millikin University,Big Blue,Decatur,IL,College Conference of Illinois and Wisconsin,3,,
878,878,Mills College [A 13],Cyclones,Oakland,CA,Coast to Coast Athletic Conference,3,,
