,URL,Division,Location,School,Logo,Conference,Nickname,Colors
29,https://www.ncaa.com/schools/american,Division I,"Washington, DC",American University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/american.svg,Patriot League,Eagles,"Red, White & Blue"
30,https://www.ncaa.com/schools/american-intl,Division II,"Springfield, MA",American International College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/american-intl.svg,Northeast-10,Yellow Jackets,"Gold, White & Black"
31,https://www.ncaa.com/schools/american-pr,"Bayamon, PR",,American University of Puerto Rico,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/american-pr.svg,,Pirates,Navy & Gold
32,https://www.ncaa.com/schools/amherst,Division III,"Amherst, MA",Amherst College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/amherst.svg,New England Small College Athletic,Mammoths,Purple & White
33,https://www.ncaa.com/schools/anderson-in,Division III,"Anderson, IN",Anderson University (Ind.) ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/anderson-in.svg,Heartland Collegiate Athletic,Ravens,Orange & Black
34,https://www.ncaa.com/schools/anderson-sc,Division II,"Anderson, SC",Anderson University (S.C.),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/anderson-sc.svg,South Atlantic,Trojans,Gold & Black
35,https://www.ncaa.com/schools/angelo-st,Division II,"San Angelo, TX",Angelo State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/angelo-st.svg,Lone Star,Rams,Blue & Gold
36,https://www.ncaa.com/schools/anna-maria,Division III,"Paxton, MA",Anna Maria College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/anna-maria.svg,Great Northeast Athletic,AMCATS,"Cardinal, Black, and White"
37,https://www.ncaa.com/schools/appalachian-st,Division I,"Boone, NC",Appalachian State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/appalachian-st.svg,Sun Belt,Mountaineers,Black & Gold
38,https://www.ncaa.com/schools/arcadia,Division III,"Glenside, PA",Arcadia University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/arcadia.svg,Middle Atlantic  Freedom,Knights,Scarlet & Gray
39,https://www.ncaa.com/schools/arizona,Division I,"Tucson, AZ",University of Arizona,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/arizona.svg,Pac-12,Wildcats,Cardinal & Navy
40,https://www.ncaa.com/schools/arizona-st,Division I,"Tempe, AZ",Arizona State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/arizona-st.svg,Pac-12,Sun Devils,Maroon & Gold
41,https://www.ncaa.com/schools/ark-fort-smith,Division II,"Fort Smith, AR",University of Arkansas-Fort Smith,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ark-fort-smith.svg,Lone Star,Lions,"Navy, White, Burgandy"
42,https://www.ncaa.com/schools/ark-monticello,Division II,"Monticello, AR",University of Arkansas-Monticello,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ark-monticello.svg,Great American,Boll Weevils,Kelly Green & White
43,https://www.ncaa.com/schools/ark-pine-bluff,Division I,"Pine Bluff, AR",University of Arkansas-Pine Bluff,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ark-pine-bluff.svg,Southwestern Athletic Conf.,Golden Lions,Black & Gold
44,https://www.ncaa.com/schools/arkansas,Division I,"Fayetteville, AR",University of Arkansas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/arkansas.svg,Southeastern,Razorbacks,Cardinal & White
45,https://www.ncaa.com/schools/arkansas-st,Division I,"State University, AR",Arkansas State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/arkansas-st.svg,Sun Belt,Red Wolves,Scarlet & Black
46,https://www.ncaa.com/schools/arkansas-tech,Division II,"Russellville, AR",Arkansas Tech University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/arkansas-tech.svg,Great American,Wonder Boys,Green & Yellow-Gold
47,https://www.ncaa.com/schools/armstrong,"Savannah, GA",,Armstrong State University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/armstrong.svg,,Pirates,Maroon & Gold
48,https://www.ncaa.com/schools/army,Division I,"West Point, NY",Army West Point,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/army.svg,Patriot League,Black Knights,"Black, Gold and Gray"
49,https://www.ncaa.com/schools/ashland,Division II,"Ashland, OH",Ashland University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ashland.svg,Great Midwest Athletic,Eagles,Purple & Gold
50,https://www.ncaa.com/schools/assumption,Division II,"Worcester, MA",Assumption College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/assumption.svg,Northeast-10,Greyhounds,Blue & White
51,https://www.ncaa.com/schools/aub-montgomery,Division II,"Montgomery, AL",Auburn-Montgomery,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/aub-montgomery.svg,Gulf South,Warhawks,Orange & Black
52,https://www.ncaa.com/schools/auburn,Division I,"Auburn, AL",Auburn University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/auburn.svg,Southeastern,Tigers,Burnt Orange & Navy Blue
53,https://www.ncaa.com/schools/augsburg,Division III,"Minneapolis, MN",Augsburg University,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/augsburg.svg,Minnesota Intercollegiate Athletic,Auggies,Maroon & Gray
54,https://www.ncaa.com/schools/augustana-il,Division III,"Rock Island, IL",Augustana College (IL),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/augustana-il.svg,College  of Illinois &amp; Wisconsin,Vikings,Gold & Blue
55,https://www.ncaa.com/schools/augustana-sd,Division II,"Sioux Falls, SD",Augustana University (SD),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/augustana-sd.svg,Northern Sun Intercollegiate,Vikings,Navy Blue & Gold
