,school,team,city,state_province,primary_conference,ncaa,team_page
74,George Mason University,Patriots,Fairfax,VA,Atlantic 10 Conference,1,/wiki/George_Mason_Patriots
75,Georgetown University,Hoyas,Washington,DC,Big East Conference,1,/wiki/Georgetown_Hoyas
76,Georgia Institute of Technology,Yellow Jackets,Atlanta,GA,Atlantic Coast Conference,1,/wiki/Georgia_Tech_Yellow_Jackets
77,Georgia Southern University,Eagles,Statesboro,GA,Sun Belt Conference,1,
78,Georgia State University,Panthers,Atlanta,GA,Sun Belt Conference,1,/wiki/Milwaukee_Panthers
79,Gonzaga University,Bulldogs,Spokane,WA,West Coast Conference,1,/wiki/Yale_Bulldogs
80,Grambling State University,Tigers,Grambling,LA,Southwestern Athletic Conference,1,/wiki/Pacific_Tigers
81,Grand Canyon University,Antelopes,Phoenix,AZ,Western Athletic Conference,1,/wiki/Grand_Canyon_Antelopes
82,Hampton University,Pirates,Hampton,VA,Big South Conference,1,/wiki/Seton_Hall_Pirates
83,Harvard University,Crimson,Cambridge,MA,Ivy League,1,/wiki/Harvard_Crimson
84,High Point University,Panthers,High Point,NC,Big South Conference,1,/wiki/Milwaukee_Panthers
85,Hofstra University,Pride,Hempstead,NY,Colonial Athletic Association,1,/wiki/Hofstra_Pride
86,Houston Baptist University,Huskies,Houston,TX,Southland Conference,1,/wiki/Washington_Huskies
87,Howard University,Bison,Washington,DC,Mid-Eastern Athletic Conference,1,/wiki/North_Dakota_State_Bison
88,Idaho State University,Bengals,Pocatello,ID,Big Sky Conference,1,/wiki/Idaho_State_Bengals
89,Illinois State University,Redbirds,Normal,IL,Missouri Valley Conference,1,/wiki/Illinois_State_Redbirds
90,Indiana State University,Sycamores,Terre Haute,IN,Missouri Valley Conference,1,/wiki/Indiana_State_Sycamores
91,Indiana University Bloomington,Hoosiers,Bloomington,IN,Big Ten Conference,1,/wiki/Indiana_Hoosiers
92,Indiana University–Purdue University Indianapolis,Jaguars,Indianapolis,IN,Horizon League,1,/wiki/South_Alabama_Jaguars
93,Iona College,Gaels,New Rochelle,NY,Metro Atlantic Athletic Conference,1,/wiki/Saint_Mary%27s_Gaels
94,Iowa State University of Science and Technology,Cyclones,Ames,IA,Big 12 Conference,1,
95,Jackson State University,Tigers,Jackson,MS,Southwestern Athletic Conference,1,/wiki/Pacific_Tigers
96,Jacksonville State University,Gamecocks,Jacksonville,AL,ASUN Conference,1,/wiki/South_Carolina_Gamecocks
97,Jacksonville University,Dolphins,Jacksonville,FL,ASUN Conference,1,/wiki/Jacksonville_Dolphins
98,James Madison University,Dukes,Harrisonburg,VA,Colonial Athletic Association,1,/wiki/James_Madison_Dukes
99,Kansas State University of Agriculture and Applied Science,Wildcats,Manhattan,KS,Big 12 Conference,1,/wiki/Weber_State_Wildcats
100,Kennesaw State University,Owls,Kennesaw,GA,ASUN Conference,1,
101,Kent State University,Golden Flashes,Kent,OH,Mid-American Conference,1,/wiki/Kent_State_Golden_Flashes
102,Lafayette College,Leopards,Easton,PA,Patriot League,1,/wiki/Lafayette_Leopards
103,Lamar University,Cardinals,Beaumont,TX,Western Athletic Conference,1,/wiki/University_of_the_Incarnate_Word_Cardinals
104,La Salle University,Explorers,Philadelphia,PA,Atlantic 10 Conference,1,/wiki/La_Salle_Explorers
105,Lehigh University,Mountain Hawks,Bethlehem,PA,Patriot League,1,/wiki/Lehigh_Mountain_Hawks
106,Leland Stanford Junior University,Cardinal,Stanford,CA,Pac-12 Conference,1,/wiki/Stanford_Cardinal
107,Liberty University,Flames,Lynchburg,VA,ASUN Conference,1,/wiki/UIC_Flames
108,Lipscomb University,Bisons,Nashville,TN,ASUN Conference,1,/wiki/Lipscomb_Bisons
109,Long Island University,Sharks,New York,NY,Northeast Conference,1,/wiki/LIU_Sharks
110,Longwood University,Lancers,Farmville,VA,Big South Conference,1,/wiki/Longwood_Lancers
